term,week,day of week,class,time spent (min)
fa23,9,Friday,MATH 241,0.0
fa23,9,Friday,HIST 164,30.0
fa23,9,Saturday,STAT 107,0.0
fa23,9,Saturday,MATH 241,0.0
fa23,9,Saturday,HIST 164,0.0
fa23,9,Saturday,PHYS 213,0.0
fa23,9,Sunday,HIST 164,0.0
fa23,9,Sunday,PHYS 213,70.0
fa23,9,Sunday,STAT 107,0.0
fa23,9,Sunday,MATH 241,130.0
fa23,10,Monday,PHYS 213,0.0
fa23,10,Monday,MATH 241,0.0
fa23,10,Monday,STAT 107,0.0
fa23,10,Monday,HIST 164,165.0
fa23,10,Tuesday,MATH 241,0.0
fa23,10,Tuesday,HIST 164,120.0
fa23,10,Tuesday,STAT 107,0.0
fa23,10,Tuesday,PHYS 213,5.0
fa23,10,Wednesday,STAT 107,30.0
fa23,10,Wednesday,MATH 241,135.0
fa23,10,Wednesday,HIST 164,75.0
fa23,10,Wednesday,PHYS 213,0.0
fa23,10,Thursday,MATH 241,15.0
fa23,10,Thursday,PHYS 213,45.0
fa23,10,Thursday,STAT 107,0.0
fa23,10,Thursday,HIST 164,75.0
fa23,10,Friday,STAT 107,0.0
fa23,10,Friday,HIST 164,75.0
fa23,10,Friday,PHYS 213,0.0
fa23,10,Friday,MATH 241,60.0
fa23,10,Saturday,HIST 164,0.0
fa23,10,Saturday,MATH 241,0.0
fa23,10,Saturday,STAT 107,0.0
fa23,10,Saturday,PHYS 213,50.0
fa23,10,Sunday,MATH 241,75.0
fa23,10,Sunday,STAT 107,0.0
fa23,10,Sunday,HIST 164,90.0
fa23,10,Sunday,PHYS 213,125.0
fa23,11,Monday,HIST 164,80.0
fa23,11,Monday,MATH 241,15.0
fa23,11,Monday,STAT 107,0.0
fa23,11,Monday,PHYS 213,75.0
fa23,11,Tuesday,PHYS 213,15.0
fa23,11,Tuesday,MATH 241,0.0
fa23,11,Tuesday,STAT 107,0.0
fa23,11,Tuesday,HIST 164,125.0
fa23,11,Wednesday,MATH 241,150.0
fa23,11,Wednesday,STAT 107,15.0
fa23,11,Wednesday,PHYS 213,0.0
fa23,11,Wednesday,HIST 164,60.0
fa23,11,Thursday,HIST 164,120.0
fa23,11,Thursday,STAT 107,30.0
fa23,11,Thursday,MATH 241,60.0
fa23,11,Thursday,PHYS 213,30.0
fa23,11,Friday,HIST 164,30.0
fa23,11,Friday,STAT 107,0.0
fa23,11,Friday,PHYS 213,0.0
fa23,11,Friday,MATH 241,0.0
fa23,11,Saturday,STAT 107,30.0
fa23,11,Saturday,HIST 164,30.0
fa23,11,Saturday,PHYS 213,0.0
fa23,11,Saturday,MATH 241,0.0
fa23,11,Sunday,MATH 241,0.0
fa23,11,Sunday,HIST 164,30.0
fa23,11,Sunday,STAT 107,0.0
fa23,11,Sunday,PHYS 213,15.0
fa23,12,Monday,PHYS 213,90.0
fa23,12,Monday,STAT 107,0.0
fa23,12,Monday,MATH 241,30.0
fa23,12,Monday,HIST 164,0.0
fa23,12,Tuesday,HIST 164,165.0
fa23,12,Tuesday,PHYS 213,15.0
fa23,12,Tuesday,MATH 241,0.0
fa23,12,Tuesday,STAT 107,0.0
fa23,12,Wednesday,MATH 241,45.0
fa23,12,Wednesday,STAT 107,15.0
fa23,12,Wednesday,PHYS 213,0.0
fa23,12,Wednesday,HIST 164,0.0
fa23,12,Thursday,HIST 164,30.0
fa23,12,Thursday,STAT 107,0.0
fa23,12,Thursday,PHYS 213,0.0
fa23,12,Thursday,MATH 241,0.0
fa23,12,Friday,HIST 164,0.0
fa23,12,Friday,PHYS 213,0.0
fa23,12,Friday,MATH 241,45.0
fa23,12,Friday,STAT 107,45.0
fa23,12,Saturday,PHYS 213,105.0
fa23,12,Saturday,HIST 164,0.0
fa23,12,Saturday,STAT 107,0.0
fa23,12,Saturday,MATH 241,0.0
fa23,12,Sunday,HIST 164,30.0
fa23,12,Sunday,PHYS 213,45.0
fa23,12,Sunday,MATH 241,15.0
fa23,12,Sunday,STAT 107,0.0
fa23,13,Monday,PHYS 213,75.0
fa23,13,Monday,HIST 164,90.0
fa23,13,Monday,MATH 241,0.0
fa23,13,Monday,STAT 107,30.0
fa23,13,Tuesday,HIST 164,90.0
fa23,13,Tuesday,MATH 241,0.0
fa23,13,Tuesday,PHYS 213,0.0
fa23,13,Tuesday,STAT 107,0.0
fa23,13,Wednesday,MATH 241,90.0
fa23,13,Wednesday,PHYS 213,0.0
fa23,13,Wednesday,HIST 164,150.0
fa23,13,Wednesday,STAT 107,30.0
fa23,13,Thursday,MATH 241,60.0
fa23,13,Thursday,PHYS 213,0.0
fa23,13,Thursday,HIST 164,105.0
fa23,13,Thursday,STAT 107,0.0
fa23,13,Friday,HIST 164,60.0
fa23,13,Friday,MATH 241,0.0
fa23,13,Friday,PHYS 213,0.0
fa23,13,Friday,STAT 107,0.0
fa23,13,Saturday,PHYS 213,0.0
fa23,13,Saturday,MATH 241,0.0
fa23,13,Saturday,STAT 107,0.0
fa23,13,Saturday,HIST 164,0.0
fa23,14,Sunday,STAT 107,0.0
fa23,14,Sunday,HIST 164,0.0
fa23,14,Sunday,PHYS 213,15.0
fa23,14,Sunday,MATH 241,0.0
fa23,15,Monday,HIST 164,60.0
fa23,15,Monday,STAT 107,0.0
fa23,15,Monday,PHYS 213,90.0
fa23,15,Monday,MATH 241,75.0
fa23,15,Tuesday,HIST 164,45.0
fa23,15,Tuesday,STAT 107,0.0
fa23,15,Tuesday,MATH 241,0.0
fa23,15,Tuesday,PHYS 213,60.0
fa23,15,Wednesday,STAT 107,30.0
fa23,15,Wednesday,MATH 241,105.0
fa23,15,Wednesday,HIST 164,90.0
fa23,15,Wednesday,PHYS 213,0.0
fa23,15,Thursday,STAT 107,30.0
fa23,15,Thursday,PHYS 213,30.0
fa23,15,Thursday,HIST 164,90.0
fa23,15,Thursday,MATH 241,60.0
fa23,15,Friday,STAT 107,0.0
fa23,15,Friday,HIST 164,75.0
